act,section,description
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",134,"Whoever assaults or uses criminal force to any person, in attempting to commit theft on any property which that person is then wearing or carrying, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",135,"Whoever assaults or uses criminal force to any person, in attempting wrongfully to confine that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to five thousand rupees, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",136,"Whoever assaults or uses criminal force to any person on grave and sudden provocation given by that person, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to one thousand rupees, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",137,Kidnapping
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",137(1),"Kidnapping is of two kinds: kidnapping from India, and kidnapping from lawful guardianship––"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",137(1)(a),"whoever conveys any person beyond the limits of India without the consent of that person, or of some person legally authorised to consent on behalf of that person, is said to kidnap that person from India;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",137(1)(b),"whoever takes or entices any child or any person of unsound mind, out of the keeping of the lawful guardian of such child or person of unsound mind, without the consent of such guardian, is said to kidnap such child or person from lawful guardianship."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",137(2),"Whoever kidnaps any person from India or from lawful guardianship shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",138,"Whoever by force compels, or by any deceitful means induces, any person to go from any place, is said to abduct that person."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",139,Kidnapping or maiming a child for purposes of begging.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",139(1),"Whoever kidnaps any child or, not being the lawful guardian of such child, obtains the custody of the child, in order that such child may be employed or used for the purposes of begging shall be punishable with rigorous imprisonment for a term which shall not be less than ten years but which may extend to imprisonment for life, and shall also be liable to fine. "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",139(2)," Whoever maims any child in order that such child may be employed or used for the purposes of begging shall be punishable with imprisonment which shall not be less than twenty years, but which may extend to life which shall mean imprisonment for the remainder of that person’s natural life, and with fine. "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",139(3),"Where any person, not being the lawful guardian of a child employs or uses such child for the purposes of begging, it shall be presumed, unless the contrary is proved, that he kidnapped or otherwise obtained the custody of such child in order that such child might be employed or used for the purposes of begging."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",139(4),In this section “begging” means—
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",139(4)(i),"soliciting or receiving alms in a public place, whether under the pretence of singing, dancing, fortune telling, performing tricks or selling articles or otherwise;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",139(4)(ii),entering on any private premises for the purpose of soliciting or receiving alms;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",139(4)(iii),"exposing or exhibiting, with the object of obtaining or extorting alms, any sore, wound, injury, deformity or disease, whether of himself or of any other person or of an animal;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",139(4)(iv),using such child as an exhibit for the purpose of soliciting or receiving alms.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",14,"Nothing is an offence which is done by a person who is, or who by reason of a mistake of fact and not by reason of a mistake of law in good faith believes himself to be, bound by law to do it."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",140,"Kidnapping or abducting in order to murder or for ransom, etc."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",140(1),"Whoever kidnaps or abducts any person in order that such person may be murdered or may be so disposed of as to be put in danger of being murdered, shall be punished with imprisonment for life or rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",140(2),"Whoever kidnaps or abducts any person or keeps a person in detention after such kidnapping or abduction, and threatens to cause death or hurt to such person, or by his conduct gives rise to a reasonable apprehension that such person may be put to death or hurt, or causes hurt or death to such person in order to compel the Government or any foreign State or international inter-governmental organisation or any other person to do or abstain from doing any act or to pay a ransom, shall be punishable with death, or imprisonment for life, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",140(3),"Whoever kidnaps or abducts any person with intent to cause that person to be secretly and wrongfully confined, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",140(4),"Whoever kidnaps or abducts any person in order that such person may be subjected, or may be so disposed of as to be put in danger of being subjected to grievous hurt, or slavery, or to the unnatural lust of any person, or knowing it to be likely that such person will be so subjected or disposed of, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",141,"Whoever imports into India from any country outside India any girl under the age of twenty-one years or any boy under the age of eighteen years with intent that girl or boy may be, or knowing it to be likely that girl or boy will be, forced or seduced to illicit intercourse with another person, shall be punishable with imprisonment which may extend to ten years and shall also be liable to fine."
